personajes,pelicula,serie,descripcion,frase,url
Violet Baudelaire,https://thenewheroines.files.wordpress.com/2016/04/tumblr_m8gkvhqist1rck6sjo11_500.jpg?w=422,https://i.pinimg.com/originals/d8/d0/d7/d8d0d79d8fd3473917afc9dd8593d867.jpg,"Hija mayor de la familia Baudelaire, su mayor habilidad es inventar cosas",Siempre se puede,https://es.wikipedia.org/wiki/Violet_Baudelaire
Klaus Baudelarie,https://vignette.wikia.nocookie.net/snicket/images/e/e2/Tumblr_inline_ms33v8QIEF1qz4rgp.jpg/revision/latest?cb=20140816031906,https://vignette.wikia.nocookie.net/netflix-a-series-of-unfortunate-events/images/e/e1/Klaus.png/revision/latest?cb=20170117115046,"Hijo del medio de la familia, su pasión es leer","No existen las coincidencias, todo pasa por algo",https://es.wikipedia.org/wiki/Klaus_Baudelaire
Sunny Baudelaire,https://vignette.wikia.nocookie.net/snicket/images/2/23/Sunny_baudelaire_4_wiki.png/revision/latest?cb=20161228212828,https://78.media.tumblr.com/07824fe0f0e12f6530f45552865ef50e/tumblr_ojq0a2ZfHf1w264z2o2_400.png,"Hija menor de la familia, su interés es morder cosas",No soy un mono,https://es.wikipedia.org/wiki/Sunny_Baudelaire
Lemony Snicket,https://3.bp.blogspot.com/-yRQPd4o0pUs/WHu5mc2vZGI/AAAAAAAANgU/zKqsPrW6Y3cXQD4QqGnN1E8fEkvYIzCTACLcB/s1600/Series-of-Unfortunate-Events-Snicket.jpg,https://pmcvariety.files.wordpress.com/2017/01/patrick-warburton-lemony-snicket.jpg?w=1000&h=563&crop=1,"Es el escritor de los libros ""A serie of Unfortunate Events"", su nombre real es Daniel Handler",La película que van a ver es extremadamente desagradable,https://en.wikipedia.org/wiki/Lemony_Snicket
Conde Olaf,https://i.pinimg.com/originals/f4/3f/ca/f43fca5573ed5e16170ecd4728fe8e5b.jpg,https://metrouk2.files.wordpress.com/2017/01/maxresdefault-1.jpg?w=748&h=420&crop=1,Conde malvado que trata de robar la herencia Baudelaire,Sr Poe criaré a estos huérfanos como si de verdad los quisiera,https://es.wikipedia.org/wiki/Conde_Olaf
Montgomery Montgomery,http://www.californiaherps.com/films/filmimages/lemonysnicket2.jpg,http://www.radiotimes.com/uploads/images/original/128014.jpg,"Primer tutor de los huérfanos Baudelaire, ama los animales exóticos",Las serpientes se retiran a un santuario donde no se sientan amenazadas,https://en.wikipedia.org/wiki/The_Reptile_Room
Josephine Anwhistle,https://wattstrending.files.wordpress.com/2012/12/meryl-in-lemony-snicket-s-a-se.jpg,http://cdn.playbuzz.com/cdn/0d5810bb-978e-42a0-a6cb-6fd472cc3d9c/b1c4430f-8980-4841-808a-04e180c6aa74.jpg,"Segunda tutora de los huérfanos Baudelaire, le teme a todo",La gramática es lo que alegra la vida,https://es.wikipedia.org/wiki/Casa_de_T%C3%ADa_Josephine
Señor Baudelaire,,,Padre de los niños Baudelaire,,https://es.wikipedia.org/wiki/Sr._y_Sra._Baudelaire
Señora Baudelaire,,,Madre de los niños Baudelaire,,https://es.wikipedia.org/wiki/Sr._y_Sra._Baudelaire
Señor Poe,https://vignette.wikia.nocookie.net/vfd/images/e/e1/PoeFilm.png/revision/latest?cb=20151222000344,https://img.buzzfeed.com/buzzfeed-static/static/2017-01/17/17/enhanced/buzzfeed-prod-web-14/enhanced-buzz-28843-1484693576-0.jpg,"Banquero de la familia Baudelaire, tiene tos constante","Niños, lamento notificarles que ha ocurrido un evento muy desafortunado",https://es.wikipedia.org/wiki/Arthur_Poe
Justice Strauss,https://vignette.wikia.nocookie.net/snicket/images/4/4c/Justice_Strauss_%28Movie%29.png/revision/latest?cb=20090824075858,https://vignette.wikia.nocookie.net/vfd/images/7/76/StraussTV.png/revision/latest?cb=20170116074527,Jueza ,No puedo creer cuan fácil me dejé engañar,https://es.wikipedia.org/wiki/Un_mal_principio
Carmelita Polainas,,https://i.ytimg.com/vi/WvQGULRrxH4/maxresdefault.jpg,Niña de la academia,¡Hola Zampabollos!,https://es.wikipedia.org/wiki/Carmelita_Polainas
